episode,nearest distance for adult,nearest distance for child,nearest distance for elder,time DExc for adult,time DExc for child,time DExc for elder,reward,done_reason,total time steps,total time,path
1.0,0.7650739970947649,1.4205222894261609,2.87202962267993,22.0,10.0,0.0,-6.578457200930821,1.0,37.0,4.070000000000001,0.8877377023292369
1.0,0.5917891447530343,1.6522135315155033,3.5171254952739957,32.0,19.0,0.0,-10.656282176067556,1.0,100.0,10.999999999999998,2.8130950357366222
1.0,3.0166673410000224,6.270313643727476,6.028935622782486,0.0,0.0,0.0,-14.410820000000005,1.0,145.0,15.950000000000008,6.000646231108915
1.0,3.2267976683091852,3.437870646911972,0.7826576004500219,0.0,0.0,93.0,-25.62074300326389,1.0,217.0,23.86999999999996,6.65601573854913
1.0,0.4902271893749906,2.255174984831918,0.7797676371034643,18.0,0.0,111.0,-20.010744531101615,1.0,292.0,32.119999999999926,10.106743627331454
2.0,2.796964831799957,3.369492846066308,2.3374157548891206,0.0,0.0,0.0,-5.873239999999999,1.0,307.0,33.769999999999925,11.110451772252588
1.0,2.3828679969786024,2.289041426815392,0.8047372049845783,0.0,0.0,81.0,-30.41503968740821,1.0,440.0,48.39999999999984,13.374777649148612
2.0,0.70209596998054,8.34957988588676,6.1032781769011075,24.0,0.0,0.0,-5.865011978280537,1.0,136.0,14.960000000000008,3.0333167660664504
1.0,2.325364081267663,2.3040097166762594,4.019169187712855,0.0,0.0,0.0,-9.93340000000003,0.0,513.0,56.429999999999794,16.680897697692465
1.0,0.7327538637122476,0.9218763027971839,0.676013221591432,23.0,90.0,92.0,-21.33970173977893,0.0,513.0,56.429999999999794,16.192629389704585
2.0,5.337610999587405,4.60935432273593,0.6145167476267146,0.0,0.0,1.0,-4.298633252315128,1.0,2.0,0.22,0.0
2.0,2.1384856177967384,0.6492204683048372,3.9668964240673024,0.0,21.0,0.0,-10.424385772314086,1.0,347.0,38.169999999999895,14.107415961210613
3.0,0.8051189541138112,2.4876955016087203,3.504617948575605,3.0,0.0,0.0,-4.953136810347777,1.0,5.0,0.55,0.3936794183620464
3.0,3.7346515034394563,3.461643764993915,5.473071736808047,0.0,0.0,0.0,-15.545250000000006,1.0,259.0,28.489999999999938,7.565259957389331
2.0,1.106167639898333,0.5468851977509959,3.159498147142527,25.0,154.0,0.0,-32.91575429589207,0.0,514.0,56.5399999999998,18.263970745765647
2.0,3.2208570182825245,4.064720297743313,4.084175831597506,0.0,0.0,0.0,-16.059280000000037,0.0,513.0,56.4299999999998,18.859992468122297
2.0,0.6456203825229269,2.763499735779378,2.7975888336383523,12.0,0.0,0.0,-8.63145306594556,1.0,139.0,15.290000000000012,4.037233393932693
